tree_id;stand_id;plot;stand_idplot;tag;species;year;year_count;tree_status;dbh;x_coord;AreaCookie;y_coord;size_cat
AB08000100001;AB08;1;AB081;4001;TSHE;2012;35;1;50,4;11,78;1995,036999;96,77;regular
AB08000100002;AB08;1;AB081;4002;TSHE;2012;35;1;81,1;12,47;5165,728654;97,95;regular
AB08000100003;AB08;1;AB081;4003;TSHE;2012;35;1;20;14,94;314,1592654;91,91;regular
AB08000100004;AB08;1;AB081;4004;TSHE;2012;35;1;53,7;22,09;2264,84483;99,06;regular
AB08000100005;AB08;1;AB081;4005;TSHE;2012;35;1;24,4;12,16;467,5946506;91,48;regular
AB08000100006;AB08;1;AB081;4006;ABAM;2012;35;1;30,1;7,46;711,57859;90,1;regular
AB08000100007;AB08;1;AB081;4008;THPL;2012;35;1;57;14,43;2551,758633;89,14;regular
AB08000100008;AB08;1;AB081;4009;TSHE;2012;35;1;25,6;13,57;514,7185404;85,75;regular
AB08000100009;AB08;1;AB081;4010;THPL;2012;35;1;55,4;8,25;2410,512627;84,76;regular
AB08000100010;AB08;1;AB081;4011;PSME;2012;35;1;82,5;3,4;5345,61625;79,25;regular
AB08000100011;AB08;1;AB081;4012;TSHE;2012;35;1;68,6;1,97;3696,052341;78,97;regular
AB08000100012;AB08;1;AB081;4013;TSHE;2012;35;1;54,5;11,38;2332,828895;80,15;regular
AB08000100013;AB08;1;AB081;4014;TSHE;2008;31;6;29,2;12,99;669,66189;76,97;regular
AB08000100014;AB08;1;AB081;4015;TSHE;2012;35;1;22,2;19,02;387,0756308;77,22;regular
AB08000100015;AB08;1;AB081;4016;TSHE;2012;35;1;91,5;21,69;6575,549774;78,49;regular
AB08000100016;AB08;1;AB081;4017;TSHE;2012;35;1;72,1;19,85;4082,821667;75,25;regular
AB08000100017;AB08;1;AB081;4540;TSHE;2012;35;1;24,6;15,82;475,2915526;90;regular
AB08000100018;AB08;1;AB081;4007;TSHE;2012;35;1;22,1;7,04;383,596317;87,83;regular
AB08000100019;AB08;1;AB081;8668;TSHE;2012;35;1;16,4;6,07;211,24069;83,6;regular
AB08000100020;AB08;1;AB081;8669;TSHE;2012;35;1;17,9;3,72;251,6494255;84,92;regular
AB08000100021;AB08;1;AB081;8483;ABAM;2012;35;1;19,3;4,53;292,5529619;76,58;regular
AB08000100022;AB08;1;AB081;19;TSHE;2012;35;1;15,1;18,11;179,0786352;95,68;regular
AB08000200001;AB08;2;AB082;4018;TSHE;2008;31;6;40,3;11,04;1275,557303;73,12;regular
AB08000200002;AB08;2;AB082;4019;TSHE;2012;35;1;33,6;9,63;886,6831105;73,44;regular
AB08000200003;AB08;2;AB082;4020;PSME;2012;35;1;72,8;4,42;4162,484602;69,96;regular
AB08000200004;AB08;2;AB082;4021;THPL;2012;35;1;47,5;6,32;1772,054606;68,81;regular
AB08000200005;AB08;2;AB082;4022;TSHE;2012;35;1;47,4;22,8;1764,601178;68,58;regular
AB08000200006;AB08;2;AB082;4023;TSHE;2012;35;1;71,8;24,78;4048,916028;71,36;regular
AB08000200007;AB08;2;AB082;4024;TSHE;2012;35;1;55,7;24,35;2436,689948;67,05;regular
AB08000200008;AB08;2;AB082;4025;TSHE;2012;35;1;25,3;24,64;502,7255104;63,31;regular
AB08000200009;AB08;2;AB082;4026;TSHE;2012;35;1;41,8;15,38;1372,279087;62,53;regular
AB08000200010;AB08;2;AB082;4027;TSHE;2012;35;1;60,5;13,21;2874,753628;64,98;regular
AB08000200011;AB08;2;AB082;4028;TSHE;2012;35;1;48,8;10,43;1870,378602;62,39;regular
AB08000200012;AB08;2;AB082;4029;TSHE;2012;35;1;60,2;3,18;2846,31436;64,3;regular
AB08000200013;AB08;2;AB082;4030;TSHE;2012;35;1;19,5;0,55;298,6476516;64,55;regular
AB08000200014;AB08;2;AB082;4031;TSHE;2012;35;1;27,3;2,03;585,3493972;60,93;regular
AB08000200015;AB08;2;AB082;4032;TSHE;2012;35;1;74;5,09;4300,840343;58,68;regular
AB08000200016;AB08;2;AB082;4033;TSHE;2012;35;1;82,8;5,36;5384,564145;52,83;regular
AB08000200017;AB08;2;AB082;131;TSHE;2012;35;1;14,8;7,42;172,0336137;59,44;regular
AB08000200018;AB08;2;AB082;357;TSHE;2017;40;2;17,1;9,238879218;229,658277;59,86486102;regular
AB08000300001;AB08;3;AB083;4034;TSHE;2012;35;1;70,9;27,97;3948,047342;93,85;regular
AB08000300002;AB08;3;AB083;4035;TSHE;2002;25;6;64;33,99;3216,990877;96,62;regular
AB08000300003;AB08;3;AB083;4036;TSHE;2008;31;6;65,9;34,59;3410,834998;98,37;regular
AB08000300004;AB08;3;AB083;4037;TSHE;2012;35;1;14,3;49,6;160,6060704;96,5;small
AB08000300005;AB08;3;AB083;4038;TSHE;2012;35;1;47,5;31,99;1772,054606;90,82;regular
AB08000300006;AB08;3;AB083;4039;THPL;2012;35;1;7,1;31,24;39,59192142;87,11;small
AB08000300007;AB08;3;AB083;4040;THPL;2012;35;1;18,3;32,01;263,0219909;86,39;regular
AB08000300008;AB08;3;AB083;4041;THPL;2012;35;1;19,9;32,97;311,0255267;85,22;regular
AB08000300009;AB08;3;AB083;4042;THPL;2012;35;1;20,9;34,18;343,0697718;86,44;regular
AB08000300010;AB08;3;AB083;4043;THPL;2012;35;1;15,5;34,29;188,6919088;85,05;regular
AB08000300011;AB08;3;AB083;4044;TSHE;2012;35;1;29,1;34;665,0830187;87,63;regular
AB08000300012;AB08;3;AB083;4045;ABAM;2012;35;1;12,9;39,3;130,6981084;86,47;small
AB08000300013;AB08;3;AB083;4046;ABAM;2012;35;1;10,7;38,52;89,92023573;83,45;small
AB08000300014;AB08;3;AB083;4047;ABAM;2012;35;1;13,6;39,43;145,2672443;82,69;small
AB08000300015;AB08;3;AB083;4048;TSHE;2012;35;1;11,3;44,83;100,2874915;82,87;small
AB08000300016;AB08;3;AB083;4049;TSHE;1995;18;6;80,8;43,93;5127,581865;83,05;regular
AB08000300017;AB08;3;AB083;4050;THPL;2012;35;1;29,2;40,92;669,66189;82,24;regular
AB08000300018;AB08;3;AB083;4051;TSHE;2012;35;1;10,7;38,22;89,92023573;78,57;small
AB08000300019;AB08;3;AB083;4052;TSHE;2012;35;1;10,3;37,51;83,32289115;78,4;small
AB08000300020;AB08;3;AB083;4053;TSHE;2012;35;1;67,7;31,97;3599,707548;76,64;regular
AB08000300021;AB08;3;AB083;4054;ABAM;2012;35;1;13,8;30,34;149,5712262;77,24;small
AB08000300022;AB08;3;AB083;4055;TSHE;2012;35;1;27,6;26,69;598,2849049;73,84;regular
AB08000300023;AB08;3;AB083;4056;TSHE;2012;35;1;22,7;38,81;404,7078196;76,17;regular
AB08000300024;AB08;3;AB083;4057;ABAM;2012;35;6;26;42,97;530,9291585;76,14;regular
AB08000300025;AB08;3;AB083;4058;TSHE;2012;35;1;17;45,84;226,9800692;76,98;regular
AB08000300026;AB08;3;AB083;4541;THPL;2012;35;1;40,3;50,79;1275,557303;79,36;regular
AB08000300027;AB08;3;AB083;5056;ABAM;2012;35;1;8,7;33,76;59,44678699;82,56;small
AB08000300028;AB08;3;AB083;8670;ABAM;2012;35;1;8,3;37,19;54,10607948;86,91;small
AB08000300029;AB08;3;AB083;8671;ABAM;2012;35;1;9;34,41;63,61725124;81,67;small
AB08000300030;AB08;3;AB083;8672;ABAM;2012;35;1;9,5;26,57;70,88218425;79;small
AB08000300031;AB08;3;AB083;8485;ABAM;2012;35;1;10,5;45,9;86,59014751;79,4;small
AB08000300032;AB08;3;AB083;8486;THPL;2012;35;1;13,9;39,18;151,7467792;97,07;regular
AB08000300033;AB08;3;AB083;51;ABAM;2012;35;1;9,2;43,72;66,47610055;83,83;small
AB08000300034;AB08;3;AB083;52;TSHE;2012;35;1;8,1;41,09;51,5299735;89,99;small
AB08000300035;AB08;3;AB083;54;TSHE;2012;35;1;6,3;35,96;31,17245311;79,44;small
AB08000300036;AB08;3;AB083;55;TSHE;2012;35;1;6,6;36,71;34,211944;82,45;small
AB08000300037;AB08;3;AB083;57;ABAM;2012;35;1;6,4;34,97;32,16990877;81,84;small
AB08000300038;AB08;3;AB083;58;TSHE;2012;35;1;7,4;34,69;43,00840343;80,45;small
AB08000300039;AB08;3;AB083;9852;ABAM;2012;35;1;9;29,02;63,61725124;81,78;small
AB08000300040;AB08;3;AB083;111;ABAM;2012;35;1;10,1;52,33;80,11846665;92,52;small
