dbcode;entity;tree_id;psp_studyid;stand_id;plot;quarter;species;tag;year;tree_status;dbh;dbh_code;canopy_class;tree_vigor;crown_ratio;main_stem;rooting;crown_pct;tree_pct;lean_angle;sampledate;check_notes;db_notes;new_mapping
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;1978;1;48,2;G;I;2;NA;1;1;100;100;0;01.07.1978 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;1984;1;48,2;G;I;2;NA;1;1;100;100;0;01.06.1984 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;1990;1;48,6;G;I;1;50;1;1;100;100;0;01.08.1990 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;1995;1;49;G;I;1;50;1;1;100;100;0;01.08.1995 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;2002;1;49,6;G;U;1;NA;1;1;100;100;0;01.08.2002 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;2008;1;50,3;G;U;U;NA;1;1;100;100;0;01.07.2008 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;2012;1;50,4;G;U;1;NA;1;1;100;100;0;29.08.2012 00:00;;;
TV010;2;AB08000100001;MRRS;AB08;1;0;TSHE;4001;2017;1;50,6;G;U;1;NA;1;1;100;100;5;27.08.2017 00:00;WtchBrm;;
TV010;2;AB08000100002;MRRS;AB08;1;0;TSHE;4002;1978;1;76,3;G;C;1;NA;1;1;100;100;0;01.07.1978 00:00;;;
TV010;2;AB08000100002;MRRS;AB08;1;0;TSHE;4002;1984;1;76,8;G;C;1;NA;1;1;100;100;0;01.06.1984 00:00;;;
TV010;2;AB08000100002;MRRS;AB08;1;0;TSHE;4002;1990;1;77,3;G;C;1;40;1;1;100;100;0;01.08.1990 00:00;;;
TV010;2;AB08000100002;MRRS;AB08;1;0;TSHE;4002;1995;1;78,7;G;C;1;15;1;1;100;100;0;01.08.1995 00:00;;;
