Week;Stand;Camera;Treatment;Depression_number;Seed_sp;Seeds Remaining;Notes
First;TO04;1;All;1;ABLA;17;Rodent feces in all the tray
First;TO04;1;All;2;ABAM;5;
First;TO04;1;All;3;CANO;0;
First;TO04;1;All;5;PSME;5;
First;TO04;1;All;6;TSHE;15;
First;TO04;1;All;7;THPL;33;
First;TO04;2;High;5;CANO;1;
First;TO04;2;High;6;ABAM;1;ABAM seed went into ABLA depression, does this avoid predation?
First;TO04;2;High;7;ABLA;17;
First;TO04;3;Low;5;PSME;17;High amount of PSME traces/Some TSHE seed in this depression
First;TO04;3;Low;6;TSHE;to count;Some THPL seeds in this depression
First;TO04;3;Low;7;THPL;to count;Some TSHE seeds in this depression
First;TO04;4;High;5;ABLA;16;19 ABLA seeds originally
First;TO04;4;High;6;ABAM;5;
First;TO04;4;High;7;CANO;18;
First;TO04;5;Low;5;TSHE;23;Rodent feces in all the tray
First;TO04;5;Low;6;PSME;15;Very light PSME traces present
First;TO04;5;Low;7;THPL;52;
First;TO04;6;All;1;ABAM;0;Rodent feces in all the tray
First;TO04;6;All;2;ABLA;16;
First;TO04;6;All;3;CANO;9;Most of the CANO seeds unfill
First;TO04;6;All;5;PSME;3;Low quality PSME seeds, open but not eaten
First;TO04;6;All;6;THPL;23;
First;TO04;6;All;7;TSHE;15;
First;TO04;7;All;1;CANO;19;Rodent feces in all the tray
First;TO04;7;All;2;ABLA;20;
First;TO04;7;All;3;ABAM;4;
First;TO04;7;All;5;THPL;53;
First;TO04;7;All;6;PSME;15;
First;TO04;7;All;7;TSHE;43;
First;TO04;8;Low;1;PSME;17;
First;TO04;8;Low;2;THPL;67;
First;TO04;8;Low;3;TSHE;59;
First;TO04;9;High;5;ABLA;20;
First;TO04;9;High;6;CANO;25;
First;TO04;9;High;7;ABAM;5;
First;AV06;10;High;1;CANO;0;Rodent feces in all the tray
First;AV06;10;High;2;ABAM;0;
First;AV06;10;High;3;ABLA;18;
First;AV06;11;Low;5;PSME;7;Rodent feces in all the tray/PSME traces present
First;AV06;11;Low;6;TSHE;24;
First;AV06;11;Low;7;THPL;80;
First;AV06;12;All;1;ABLA;19;Rodent feces in all the tray
First;AV06;12;All;2;ABAM;3;
First;AV06;12;All;3;CANO;0;
First;AV06;12;All;5;PSME;3;
First;AV06;12;All;6;TSHE;7;
First;AV06;12;All;7;THPL;1;
First;AV06;13;High;5;ABAM;5;Rodent feces in all the tray
First;AV06;13;High;6;CANO;0;Very light traces of CANO
First;AV06;13;High;7;ABLA;20;
First;AV06;14;All;1;THPL;4;Rodent feces in all the tray
First;AV06;14;All;2;TSHE;14;
First;AV06;14;All;3;PSME;0;
First;AV06;14;All;5;CANO;0;
First;AV06;14;All;6;ABAM;4;
First;AV06;14;All;7;ABLA;19;
First;AV06;15;Low;1;THPL;1;Rodent feces in all the tray
First;AV06;15;Low;2;PSME;4;
First;AV06;15;Low;3;TSHE;9;Bug eating a TSHE seed
First;AV06;16;Low;1;TSHE;0;Rodent feces in all the tray
First;AV06;16;Low;2;PSME;3;
First;AV06;16;Low;3;THPL;42;
First;AV06;17;All;1;TSHE;0;Very light traces of TSHE
First;AV06;17;All;2;THPL;6;Rodent feces in all the tray
First;AV06;17;All;3;PSME;0;
First;AV06;17;All;5;ABAM;1;
First;AV06;17;All;6;ABLA;20;Rodent feces in all the tray
First;AV06;17;All;7;CANO;1;
First;AV06;18;High;1;ABLA;20;
First;AV06;18;High;2;ABAM;0;
First;AV06;18;High;3;CANO;1;
First;AE10;19;All;1;CANO;0;Rodent feces in all the tray
First;AE10;19;All;2;ABLA;18;
First;AE10;19;All;3;ABAM;0;
First;AE10;19;All;5;PSME;0;
First;AE10;19;All;6;THPL;16;
First;AE10;19;All;7;TSHE;0;Filter out of the depression
First;AE10;20;Low;1;PSME;0;
First;AE10;20;Low;2;THPL;7;Rodent feces in all the tray
First;AE10;20;Low;3;TSHE;18;
First;AE10;21;High;5;ABLA;19;
First;AE10;21;High;6;ABAM;0;
First;AE10;21;High;7;CANO;0;
First;AE10;22;Low;1;PSME;0;Rodent feces in all the tray/A lot of traces of PSME seeds and a lot  of testing bites
First;AE10;22;Low;2;TSHE;2;A lot of traces of TSHE/Surgical work (invertebrate?)
First;AE10;22;Low;3;THPL;3;A lot of traces of THPL
First;AE10;23;High;1;ABAM;0;Rodent feces in all the tray
First;AE10;23;High;2;CANO;0;CANO traces present
First;AE10;23;High;3;ABLA;18;
First;AE10;24;All;1;THPL;83;Rodent feces in all the tray
First;AE10;24;All;2;TSHE;39;
First;AE10;24;All;3;PSME;0;
First;AE10;24;All;5;ABLA;15;
First;AE10;24;All;6;ABAM;0;
First;AE10;24;All;7;CANO;0;
First;AE10;25;Low;1;TSHE;0;Very light traces of TSHE
First;AE10;25;Low;2;THPL;1;Very light traces of THPL
First;AE10;25;Low;3;PSME;0;Very light traces of PSME
First;AE10;26;All;1;ABLA;20;Rodent feces in all the tray
First;AE10;26;All;2;CANO;0;
First;AE10;26;All;3;ABAM;1;
First;AE10;26;All;5;THPL;5;THPL traces present/Small amount of filled seeds
First;AE10;26;All;6;TSHE;0;TSHE traces present
First;AE10;26;All;7;PSME;0;Very light traces of PSME
First;AE10;27;High;1;CANO;0;
First;AE10;27;High;2;ABLA;19;
First;AE10;27;High;3;ABAM;0;
Second;TO04;1;Low;5;THPL;1;Rodent feces in all the tray
Second;TO04;1;Low;6;TSHE;0;
Second;TO04;1;Low;7;PSME;0;Partial seeds or Low quality PSME?
Second;TO04;2;All;1;ABLA;0;Partial seeds or Low quality ABLA?
Second;TO04;2;All;2;CANO;0;Rodent feces in all the tray
Second;TO04;2;All;3;ABAM;3;
Second;TO04;2;All;5;THPL;2;
Second;TO04;2;All;6;PSME;0;
Second;TO04;2;All;7;TSHE;0;
Second;TO04;3;High;1;ABAM;3;Rodent feces in all the tray
Second;TO04;3;High;2;CANO;0;high amount of CANO traces 
Second;TO04;3;High;3;ABLA;3;
Second;TO04;4;Low;5;TSHE;1;Rodent feces in all the tray
Second;TO04;4;Low;6;PSME;0;A lot of beattles in the tray
Second;TO04;4;Low;7;THPL;3;Partial seeds or Low quality THPL?
Second;TO04;5;High;5;ABLA;4;Rodent feces in all the tray/Partial seeds due to invertebrates?
Second;TO04;5;High;6;CANO;1;High amount of traces (difficult to count)
Second;TO04;5;High;7;ABAM;2;
Second;TO04;6;All;1;CANO;3;High amount of CANO traces
Second;TO04;6;All;2;ABLA;5;
Second;TO04;6;All;3;ABAM;1;
Second;TO04;6;All;5;THPL;6;Partial seeds or Low quality THPL?
Second;TO04;6;All;6;TSHE;0;Partial seeds or Low quality TSHE?
Second;TO04;6;All;7;PSME;0;Partial seeds or Low quality PSME?
Second;TO04;7;All;1;TSHE;62;
Second;TO04;7;All;2;PSME;21;
Second;TO04;7;All;3;THPL;45;Partial seeds or Low quality THPL?
Second;TO04;7;All;5;ABAM;3;
Second;TO04;7;All;6;CANO;13;
Second;TO04;7;All;7;ABLA;6;
Second;TO04;8;Low;1;TSHE;71;
Second;TO04;8;Low;2;THPL;77;Some low quality seeds remaining
Second;TO04;8;Low;3;PSME;17;
Second;TO04;9;High;5;ABAM;4;
Second;TO04;9;High;6;CANO;15;
Second;TO04;9;High;7;ABLA;7;
Second;AV06;10;All;1;ABLA;5;Rodent feces in all the tray
Second;AV06;10;All;2;CANO;0;
Second;AV06;10;All;3;ABAM;3;
Second;AV06;10;All;5;TSHE;5;
Second;AV06;10;All;6;PSME;0;
Second;AV06;10;All;7;THPL;4;
Second;AV06;11;Low;1;TSHE;2;Rodent feces in all the tray
Second;AV06;11;Low;2;THPL;23;Partial seeds or Low quality THPL?
Second;AV06;11;Low;3;PSME;0;
Second;AV06;12;High;5;ABAM;1;
Second;AV06;12;High;6;CANO;0;
Second;AV06;12;High;7;ABLA;6;
Second;AV06;13;Low;1;PSME;1;Partial seeds or Low quality PSME?
Second;AV06;13;Low;2;TSHE;14;Rodent feces in all the tray
Second;AV06;13;Low;3;THPL;0;Partial seeds or Low quality THPL?
Second;AV06;14;High;5;ABAM;2;Rodent feces in all the tray
Second;AV06;14;High;6;CANO;0;
Second;AV06;14;High;7;ABLA;8;
Second;AV06;15;All;1;ABLA;6;Rodent feces in all the tray
Second;AV06;15;All;2;ABAM;0;
Second;AV06;15;All;3;CANO;0;
Second;AV06;15;All;5;THPL;4;
Second;AV06;15;All;6;PSME;1;
Second;AV06;15;All;7;TSHE;12;
Second;AV06;16;Low;5;TSHE;0;
Second;AV06;16;Low;6;THPL;4;Low quality THPL?
Second;AV06;16;Low;7;PSME;1;Low quality PSME?
Second;AV06;17;High;5;ABAM;2;Low quality ABAM?
Second;AV06;17;High;6;CANO;0;
Second;AV06;17;High;7;ABLA;3;
