"tag.x","tree_id.x","stand_id.x","plot.x","stand_idplot.x","species.x","year.x","year_count.x","tree_status.x","dbh.x","AreaCookie.x","size_cat.x","tree_id.y","stand_id.y","plot.y","stand_idplot.y","tag.y","species.y","year.y","year_count.y","tree_status.y","dbh.y","AreaCookie.y","size_cat.y","Stand","Subplot..e.g...25.25..","Camera.number","Lat","Long","Notes","geometry"
18,"TO04000800017","TO04",8,"TO048","TSHE",2012,35,"1","25,9","526,852942","regular","TO04000700018","TO04",7,"TO047",4620,"TABR",1998,21,"6","29,4","678,8667565","regular","TO04","75,75",8,"46,74048","121,8875",NA,c(93.36, 75.34)
18,"TO04000800017","TO04",8,"TO048","TSHE",2012,35,"1","25,9","526,852942","regular","TO04000700020","TO04",7,"TO047",2302,"TABR",2012,35,"1","20,1","317,308712","regular","TO04","75,75",8,"46,74048","121,8875",NA,c(93.36, 75.34)
18,"TO04000800017","TO04",8,"TO048","TSHE",2012,35,"1","25,9","526,852942","regular","TO04000700022","TO04",7,"TO047",3642,"TSHE",2012,35,"1","17","226,9800692","regular","TO04","75,75",8,"46,74048","121,8875",NA,c(93.36, 75.34)
18,"TO04000800017","TO04",8,"TO048","TSHE",2012,35,"1","25,9","526,852942","regular","TO04000800017","TO04",8,"TO048",18,"TSHE",2012,35,"1","25,9","526,852942","regular","TO04","75,75",8,"46,74048","121,8875",NA,c(93.36, 75.34)
18,"TO04000800017","TO04",8,"TO048","TSHE",2012,35,"1","25,9","526,852942","regular","TO04000800025","TO04",8,"TO048",9439,"ABAM",2012,35,"2","16,3","208,672438","regular","TO04","75,75",8,"46,74048","121,8875",NA,c(93.36, 75.34)
436,"TO04000400015","TO04",4,"TO044","TSHE",2012,35,"1","17,9","251,6494255","regular","TO04000200024","TO04",2,"TO042",4411,"TSHE",2012,35,"1","58,3","2669,481964","regular","TO04","25,75",6,"46,74041","121,88834",NA,c(26.24, 52.18)
436,"TO04000400015","TO04",4,"TO044","TSHE",2012,35,"1","17,9","251,6494255","regular","TO04000200025","TO04",2,"TO042",435,"TSHE",2012,35,"1","23,1","419,096314","regular","TO04","25,75",6,"46,74041","121,88834",NA,c(26.24, 52.18)
436,"TO04000400015","TO04",4,"TO044","TSHE",2012,35,"1","17,9","251,6494255","regular","TO04000400012","TO04",4,"TO044",4443,"TSHE",2008,31,"6","23,6","437,4353611","regular","TO04","25,75",6,"46,74041","121,88834",NA,c(26.24, 52.18)
436,"TO04000400015","TO04",4,"TO044","TSHE",2012,35,"1","17,9","251,6494255","regular","TO04000400015","TO04",4,"TO044",436,"TSHE",2012,35,"1","17,9","251,6494255","regular","TO04","25,75",6,"46,74041","121,88834",NA,c(26.24, 52.18)
436,"TO04000400015","TO04",4,"TO044","TSHE",2012,35,"1","17,9","251,6494255","regular","TO04001500002","TO04",15,"TO0415",4505,"PSME",2012,35,"1","224,9","39725,44696","regular","TO04","25,75",6,"46,74041","121,88834",NA,c(26.24, 52.18)
2332,"TO04001300013","TO04",13,"TO0413","TSHE",2012,35,"1","27,5","593,9573611","regular","TO04001300012","TO04",13,"TO0413",4688,"TSHE",2012,35,"1","43,6","1493,010493","regular","TO04","25,25",2,"46,7401","121,88777",NA,c(31.34, 30.87)
2332,"TO04001300013","TO04",13,"TO0413","TSHE",2012,35,"1","27,5","593,9573611","regular","TO04001300013","TO04",13,"TO0413",2332,"TSHE",2012,35,"1","27,5","593,9573611","regular","TO04","25,25",2,"46,7401","121,88777",NA,c(31.34, 30.87)
2332,"TO04001300013","TO04",13,"TO0413","TSHE",2012,35,"1","27,5","593,9573611","regular","TO04001300016","TO04",13,"TO0413",38,"TSHE",2012,35,"1","22,7","404,7078196","regular","TO04","25,25",2,"46,7401","121,88777",NA,c(31.34, 30.87)
2332,"TO04001300013","TO04",13,"TO0413","TSHE",2012,35,"1","27,5","593,9573611","regular","TO04001300017","TO04",13,"TO0413",39,"TSHE",2012,35,"1","20,9","343,0697718","regular","TO04","25,25",2,"46,7401","121,88777",NA,c(31.34, 30.87)
2560,"TO04001600017","TO04",16,"TO0416","TSHE",2012,35,"1","18,1","257,3042923","regular","TO04001500023","TO04",15,"TO0415",4526,"TSHE",2012,35,"1","37,6","1110,364507","regular","TO04","25,25",3,"46,7403","121,88845",NA,c(18.51, 26)
2560,"TO04001600017","TO04",16,"TO0416","TSHE",2012,35,"1","18,1","257,3042923","regular","TO04001500024","TO04",15,"TO0415",4527,"TSHE",1993,16,"6","100,8","7980,147995","regular","TO04","25,25",3,"46,7403","121,88845",NA,c(18.51, 26)
2560,"TO04001600017","TO04",16,"TO0416","TSHE",2012,35,"1","18,1","257,3042923","regular","TO04001600017","TO04",16,"TO0416",2560,"TSHE",2012,35,"1","18,1","257,3042923","regular","TO04","25,25",3,"46,7403","121,88845",NA,c(18.51, 26)
2875,"TO04000500026","TO04",5,"TO045","TSHE",2012,35,"1","22,7","404,7078196","regular","TO04000500004","TO04",5,"TO045",4447,"TSHE",1987,10,"6","59,4","2771,167464","regular","TO04","75,75",9,"46,74075","121,88766",NA,c(66.61, 92.72)
2875,"TO04000500026","TO04",5,"TO045","TSHE",2012,35,"1","22,7","404,7078196","regular","TO04000500005","TO04",5,"TO045",4448,"TABR",2012,35,"1","23,9","448,6272849","regular","TO04","75,75",9,"46,74075","121,88766",NA,c(66.61, 92.72)
2875,"TO04000500026","TO04",5,"TO045","TSHE",2012,35,"1","22,7","404,7078196","regular","TO04000500019","TO04",5,"TO045",437,"ABAM",2012,35,"1","34,3","924,0130853","regular","TO04","75,75",9,"46,74075","121,88766",NA,c(66.61, 92.72)
2875,"TO04000500026","TO04",5,"TO045","TSHE",2012,35,"1","22,7","404,7078196","regular","TO04000500026","TO04",5,"TO045",2875,"TSHE",2012,35,"1","22,7","404,7078196","regular","TO04","75,75",9,"46,74075","121,88766",NA,c(66.61, 92.72)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400009","TO04",14,"TO0414",4691,"ABGR",1998,21,"6","32,6","834,6897521","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400015","TO04",14,"TO0414",4697,"TSHE",2012,35,"6","15,3","183,8538561","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400016","TO04",14,"TO0414",4698,"TSHE",1983,6,"6","29,9","702,1538121","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400017","TO04",14,"TO0414",4699,"ABAM",1993,16,"6","11,5","103,8689071","small","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400024","TO04",14,"TO0414",3636,"TSHE",2012,35,"1","19","283,528737","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400029","TO04",14,"TO0414",2500,"TSHE",2012,35,"1","9,7","73,89811319","small","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400039","TO04",14,"TO0414",2764,"TSHE",2012,35,"1","12,8","128,6796351","small","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000500028","TO04",5,"TO045",2232,"ABAM",2017,40,"2","16,3","208,672438","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700003","TO04",7,"TO047",4604,"TSHE",1981,4,"6","67,9","3621,007547","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700011","TO04",7,"TO047",4613,"ABAM",2008,31,"6","35,2","973,1397404","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700029","TO04",7,"TO047",3649,"TSHE",2008,31,"6","11,7","107,5131546","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700030","TO04",7,"TO047",3650,"ABAM",2008,31,"6","6,7","35,25652355","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700031","TO04",7,"TO047",3651,"ABAM",2008,31,"6","10,5","86,59014751","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700032","TO04",7,"TO047",3652,"ABAM",2012,35,"1","17,7","246,0573906","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700034","TO04",7,"TO047",41,"TSHE",1998,21,"2","5,1","20,42820623","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700037","TO04",7,"TO047",347,"ABAM",2012,35,"1","8,4","55,41769441","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700038","TO04",7,"TO047",3653,"TSHE",2008,31,"6","13","132,7322896","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
